id,name,enabled,status,source,last_seen_at,metadata_json
1,codex,1,active,sessions_jsonl,2026-05-13T16:34:02.963579+00:00,"{""codex_home"": ""C:\\Users\\DISEÑO WEB\\.codex"", ""config_toml"": true, ""session_index_jsonl"": ""[REDACTED]"", ""sessions_dir"": ""[REDACTED]"", ""logs_sqlite"": true, ""auth_present"": ""[REDACTED]""}"
3,claude,1,active,projects_jsonl,2026-05-13T16:34:04.018875+00:00,"{""claude_home"": ""C:\\Users\\DISEÑO WEB\\.claude"", ""projects_dir"": true, ""history_jsonl"": true, ""stats_cache_json"": true}"
4,system,1,active,psutil,2026-05-13T16:34:04.377123+00:00,"{""timestamp"": ""2026-05-13T16:34:06.872643Z"", ""cpu_percent"": 38.6, ""ram_percent"": 90.7, ""ram_used_mb"": 14325.0, ""ram_total_mb"": 15791.2, ""disk_percent"": 53.2, ""net_sent_mb"": 3076.8, ""net_recv_mb"": 18896.4, ""top_processes"": [{""pid"": 0, ""name"": ""System Idle Process"", ""cpu"": 0.0, ""mem_mb"": 0.0}, {""pid"": 4, ""name"": ""System"", ""cpu"": 0.0, ""mem_mb"": 5.8}, {""pid"": 236, ""name"": """", ""cpu"": 0.0, ""mem_mb"": 56.3}, {""pid"": 280, ""name"": ""Registry"", ""cpu"": 0.0, ""mem_mb"": 52.5}, {""pid"": 760, ""name"": ""node.exe"", ""cpu"": 0.0, ""mem_mb"": 81.9}, {""pid"": 1148, ""name"": ""LsaIso.exe"", ""cpu"": 0.0, ""mem_mb"": 1.5}, {""pid"": 1160, ""name"": ""services.exe"", ""cpu"": 0.0, ""mem_mb"": 9.4}, {""pid"": 1172, ""name"": ""smss.exe"", ""cpu"": 0.0, ""mem_mb"": 0.2}]}"
